OBJECTID,Station_ID,Feature_Origin,Notes,Mode_Observation,Slip_Sense,Scarp_Facing_Direction,Local_Fault_Dip,Local_Fault_Azimuth_Degrees,Slip_Azimuth,Fault_Slip_Measurement_Type,Heave_cm,Heave_min_cm,Heave_max_cm,Rupture_Expression,Rupture_Width_m,Rupture_Width_Min_m,Rupture_Width_Max_m,VM_Slip_Azimuth,Plunge,Net_Slip_Preferred_cm,Net_Slip_Min_cm,Net_Slip_Max_cm,Vector_Offset_Feature_Notes,Horizontal_Separation_cm,Horizontal_Separation_Min_cm,Horizontal_Separation_Max_cm,Vertical_Separation_cm,Vertical_Separation_Min_cm,Vertical_Separation_Max_cm,Slip_Offset_Feature_Notes,GlobalID,CreationDate,Creator,EditDate,Editor,fault_az_min_L,fault_az_max_L,fault_dip_min_L,fault_dip_max_L,local_frac_az_min_L,local_frac_az_max_L,striations_observed_L,gouge_observed_L,vect_plunge_min_L,vect_plunge_max_L,vect_az_min_L,vect_az_max_L,horiz_az_min_L,horiz_az_max_L,_citation,_latitude,_longitude,_napa_photo_exists,_observed_feature,_orig_lat,_orig_lon,Net_Slip_Preffered_cm
1034,210.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Wells,,,,,,,,,,,,,,,,,,38.25635077,-122.3273612,Y,Soil,38.25630569,-122.3273392,
2178,211.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Dawson,,,,,,,,,,,,,,,,,,38.25635077,-122.3273612,Y,Soil,38.25634384,-122.3273468,
2177,212.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Dawson,,,,,,,,,,,,,,,,,,38.25643275,-122.3273906,Y,Vineyard row,38.25642776,-122.3273773,
608,213.0,Tectonic,Source: Napa 2014; About 10 cm right-lateral.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Dawson,,,,,,,,,,,,,,,,,,38.25683985,-122.3276848,Y,Soil,38.25683594,-122.3276749,10*
2179,214.0,Tectonic,Source: Napa 2014; Compiler note: displacement estimated from photograph.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Dawson,,,,,,,,,,,,,,,,,,38.25706513,-122.3278591,Y,Soil,38.257061,-122.3278351,12*
609,215.0,Tectonic,Source: Napa 2014; 1.5-m-wide zone of en echelon cracks in vineyard.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Dawson,,,,,,,,,,,,,,,,,,38.25714,-122.327888,Y,Soil,38.25713348,-122.3279037,
611,216.0,Tectonic,Source: Napa 2014; More surface rupture in vineyard.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Dawson,,,,,,,,,,,,,,,,,,38.25810433,-122.3285826,Y,Soil,38.25810623,-122.3285522,
612,217.0,Tectonic,Source: Napa 2014; More surface rupture in vineyard.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Dawson,,,,,,,,,,,,,,,,,,38.25859556,-122.3287667,Y,Soil,38.25857925,-122.3287888,
614,218.0,Tectonic,Source: Napa 2014; Fault crossing vineyard boundary.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Dawson,,,,,,,,,,,,,,,,,,38.25967707,-122.329336,Y,Soil,38.25965881,-122.3293076,
613,219.0,Tectonic,Source: Napa 2014; 3-m-wide zone of en echelon cracking. Fault trends 8 to 10 degrees north. Along strike right-lateral displacement about 28 cm. Faults appears to be at base of very subtle broad older scarp. ,,RL,,,10-Aug,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Dawson,,,,,,,,,,,,,,,,,,38.25967707,-122.329336,Y,Vineyard row,38.25961685,-122.329361,28*
615,220.0,Tectonic,Source: Napa 2014; Fault strikes about 10 to 12 degrees north. About 1.5 m wide. 30 cm right-lateral displacement.,,RL,,,12-Oct,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Dawson,,,,,,,,,,,,,,,,,,38.26001964,-122.3295143,Y,Vineyard row,38.2600174,-122.3295288,30*
616,221.0,Tectonic,Source: Napa 2014; Fault oriented 7 degrees north.Wheel track edge offset 19 cm right-lateral. Fault zone about 1.8 m wide.,,RL,,,7,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Dawson,,,,,,,,,,,,,,,,,,38.26050134,-122.3297409,Y,Vineyard row,38.26048279,-122.3298111,19*
618,222.0,Tectonic,"Source: Napa 2014; Fault appears to occupy topographic bench. Fault also looks like it is dying out. Mostly an open crack 8 to 9 cm wide. Perhaps 8 cm right-lateral displacement based on matching open crack features. On next property to north, fault appears to be more discontinuous cracking; rupture not as well expressed.",,RL,,,,,,8-9*,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Dawson,,,,,,,,,,,,,,,,,,38.26149867,-122.330511,Y,Soil,38.26150131,-122.3304672,8*
617,223.0,Tectonic,Source: Napa 2014; Minor rupture. Compiler note: Location estimated based on photo time as photo GPS coordinates are clearly incorrect.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:01,Dawson,,,,,,,,,,,,,,,,,,38.262032,-122.33092,Y,Soil,38.26172638,-122.3307571,
619,224.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:01,Dawson,,,,,,,,,,,,,,,,,,38.26263363,-122.3312607,Y,Soil,38.26262283,-122.3312073,
620,225.0,Tectonic,Source: Napa 2014; Fissure in vineyard. Two traces.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:01,Dawson,,,,,,,,,,,,,,,,,,38.26348497,-122.3317872,Y,Soil,38.26345062,-122.3318634,
621,226.0,Tectonic,Source: Napa 2014; Fault is on side hill bench. Two traces. Eastern trace is dominant. Large fissure. Not ideal for displacement. Crack oriented 33 degrees. Tape is 342 degrees. Crack open 13 cm.,,,,,,,,13*,,,A,,,,,,,,,,,,,,,,,,2014:09:01,Dawson,,,,,,,,,,,,,,,,,,38.26378069,-122.3318573,Y,Soil,38.26376343,-122.3318634,
622,227.0,Tectonic,"Source: Napa 2014; North end of vineyard. Goes into high grasses, difficult to see with vegetation mat.",,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:01,Dawson,,,,,,,,,,,,,,,,,,38.26454988,-122.3324266,Y,Soil,38.26458359,-122.3324738,
1287,228.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Kelson,,,,,,,,,,,,,,,,,,38.26588188,-122.3335962,Y,Pavement,38.26594925,-122.3335876,
697,229.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Haydon/Wiegers,,,,,,,,,,,,,,,,,,38.26588188,-122.3335962,Y,Pavement,38.26585007,-122.3336105,
405,230.0,Tectonic,"Source: Napa 2014; Offset in white line on road,",,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:30,Hudnut,,,,,,,,,,,,,,,,,,38.26588188,-122.3335962,Y,Pavement,38.26594543,-122.3335571,
623,231.0,Tectonic,"Source: Napa 2014; Old Sonoma Road 8/27/2014: Measured 12 cm, perhaps as much as 17 cm, depends on projection. Difficult because of width of zone and slight curve in road.",,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:27,Dawson,,,,,,,,,,,,,,,,,,38.26590317,-122.3336039,Y,Pavement,38.26589203,-122.3335571,12-17*
1282,232.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Kelson,,,,,,,,,,,,,,,,,"Dawson, T., Kelson, K., Wesling, J., Hudnut, K. and Ponti, D., 2014, Surface fault rupture associated with the M 6.0 South Napa earthquake of August 24, 2014, in August 24, 2014 South Napa, California Earthquake, section 3: GEER Association Rept. No. GEER-037.",38.2659272,-122.3336128,Y,Pavement,38.26594925,-122.3335648,
1742,233.0,Tectonic,Source: Napa 2014; Site name: old_sonoma - Measurement: None - Measurement azimuth: None - Feature azimuth: None - Displacement sense: None; road on fill.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Morelan/Trexler,,,,,,,,,,,,,,,,,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",38.2659272,-122.3336128,Y,Pavement,38.26587677,-122.3336716,
444,234.0,Tectonic,Source: Napa 2014; Old Sonoma Rd: right-lateral surface offset.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Holzer,,,,,,,,,,,,,,,,,,38.2659272,-122.3336128,Y,Pavement,38.26591873,-122.3336029,
683,235.0,Tectonic,Source: Napa 2014; Old Sonoma Rd. looking north and south.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Delattre,,,,,,,,,,,,,,,,,,38.2659272,-122.3336128,Y,Pavement,38.26589966,-122.3335037,
655,236.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Dawson/Davenport,,,,,,,,,,,,,,,,,,38.2659272,-122.3336128,Y,Pavement,38.2661705,-122.3336029,
2162,237.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Dawson,,,,,,,,,,,,,,,,,,38.2659272,-122.3336128,Y,Pavement,38.26592255,-122.3336029,
607,238.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Holzer/Ponti,,,,,,,,,,,,,,,,,,38.2659272,-122.3336128,Y,Pavement,38.26591873,-122.3336029,
1112,239.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Wells,,,,,,,,,,,,,,,,,,38.2659272,-122.3336128,Y,Pavement,38.26593399,-122.3335953,
696,240.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Haydon/Wiegers,,,,,,,,,,,,,,,,,,38.2659272,-122.3336128,Y,Pavement,38.26591492,-122.3335724,
404,241.0,Tectonic,Source: Napa 2014; Offset in double yellow line on road.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:30,Hudnut,,,,,,,,,,,,,,,,,,38.26592767,-122.3336126,Y,Pavement,38.26597977,-122.33358,
1281,242.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Kelson,,,,,,,,,,,,,,,,,,38.26600002,-122.3336391,Y,Curb/Sidewalk,38.26594925,-122.3335648,
553,243.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Dawson/Davenport,,,,,,,,,,,,,,,,,,38.26600002,-122.3336391,Y,Curb/Sidewalk,38.26599503,-122.3336258,
2161,244.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Dawson,,,,,,,,,,,,,,,,,,38.26600002,-122.3336391,Y,Curb/Sidewalk,38.26599503,-122.3336258,
1839,245.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Ponti,,,,,,,,,,,,,,,,,,38.26600002,-122.3336391,Y,Curb/Sidewalk,38.2660141,-122.3336258,
2184,246.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:27,Dawson,,,,,,,,,,,,,,,,,,38.26600002,-122.3336391,Y,Curb/Sidewalk,38.26599503,-122.3336258,
403,247.0,Tectonic,Source: Napa 2014; Curb offset.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:30,Hudnut,,,,,,,,,,,,,,,,,,38.26600002,-122.3336391,Y,Curb/Sidewalk,38.26603317,-122.3336182,
489,248.0,Tectonic,"Source: Napa 2014; Clos du Val 2: 20 to 25 cm apparent right-lateral offset of vines, which trend 058.",,RL,,,345**,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Wesling,,,,,,,,,,,,,,,,,,38.26719919,-122.3343078,Y,Vineyard row,38.26713943,-122.3343964,20.9-26.1**
426,249.0,Tectonic,Source: Napa 2014; Fractures in soil.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Hudnut,,,,,,,,,,,,,,,,,,38.26918203,-122.3351853,Y,Soil,38.2691803,-122.3351898,
545,250.0,Tectonic,Source: Napa 2014; Vineyard offset.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:04,Zaccone,,,,,,,,,,,,,,,,,,38.27123278,-122.3356667,Y,Vineyard row,38.27103424,-122.3356476,
488,251.0,Tectonic,Source: Napa 2014; En echelon left-stepping fractures.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Wesling,,,,,,,,,,,,,,,,,,38.27172966,-122.3359567,Y,Soil,38.27172089,-122.3359375,
427,252.0,Tectonic,Source: Napa 2014; Fractures in soil.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Hudnut,,,,,,,,,,,,,,,,,,38.27174471,-122.3359646,Y,Soil,38.27173233,-122.3359833,
1037,253.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:30,Wells,,,,,,,,,,,,,,,,,,38.27306848,-122.3364906,Y,Soil,38.27313614,-122.3364639,
428,254.0,Tectonic,Source: Napa 2014; Fractures in soil.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Hudnut,,,,,,,,,,,,,,,,,,38.27306848,-122.3364906,Y,Soil,38.27309799,-122.3365097,
481,255.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Holzer/Ponti,,,,,,,,,,,,,,,,,,38.2731521,-122.3368048,Y,Vineyard row,38.26594162,-122.3336334,
1743,256.0,Tectonic,Source: Napa 2014; Site name: henry_rd - Measurement: None - Measurement azimuth: None - Feature azimuth: None - Displacement sense: None; compression observed.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Morelan/Trexler,,,,,,,,,,,,,,,,,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",38.27319454,-122.3365687,Y,Pavement,38.27300262,-122.3366776,
685,257.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Delattre,,,,,,,,,,,,,,,,,,38.27319454,-122.3365687,Y,Pavement,38.27317429,-122.3366165,
445,258.0,Tectonic,Source: Napa 2014; Henry Rd: 1.5 cm right-lateral offset of painted letters and vineyard row.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Holzer,,,,,,,,,,,,,,,,,,38.27319454,-122.3365687,Y,Pavement,38.27318954,-122.3365784,1.5*
656,259.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Dawson/Davenport,,,,,,,,,,,,,,,,,,38.27319454,-122.3365687,Y,Pavement,38.27329636,-122.3365555,
1114,260.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Wells,,,,,,,,,,,,,,,,,,38.27319454,-122.3365687,Y,Pavement,38.27322388,-122.3365021,
2181,261.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Dawson,,,,,,,,,,,,,,,,,,38.27319454,-122.3365687,Y,Pavement,38.27318954,-122.3365555,
509,262.0,Tectonic,Source: Napa 2014; Henry Road.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Zaccone,,,,,,,,,,,,,,,,,,38.27319454,-122.3365687,Y,Pavement,38.27321625,-122.3366013,
957,263.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:28,Wills,,,,,,,,,,,,,,,,,,38.27319454,-122.3365687,Y,Pavement,38.27368164,-122.3355179,
1035,264.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:30,Wells,,,,,,,,,,,,,,,,,,38.27319454,-122.3365687,Y,Pavement,38.27318954,-122.3365555,
1773,265.0,Tectonic,"Source: Napa 2014; Abandoned house, secondary trace goes through building foundation.",,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:30,Hudnut,,,,,,,,,,,,,,,,,,38.27544521,-122.3386439,Y,Soil,38.26895142,-122.3316422,
487,266.0,Tectonic,Source: Napa 2014; En echelon surface rupture.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Wesling,,,,,,,,,,,,,,,,,,38.27721482,-122.3376275,Y,Soil,38.27717972,-122.3375702,
26,267.0,Tectonic,Source: Napa 2014; Main zone of crackingat southern end of broad zone of rupture as it crosses vineyard row.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:31,Ponti,,,,,,,,,,,,,,,,,,38.27721482,-122.3376275,Y,Soil,38.27724075,-122.337677,
414,268.0,Tectonic,Source: Napa 2014; Fractures in soil.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:31,Hudnut,,,,,,,,,,,,,,,,,,38.27721482,-122.3376275,Y,Soil,38.2773056,-122.3376541,
413,269.0,Tectonic,Source: Napa 2014; Offset fence.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:31,Hudnut,,,,,,,,,,,,,,,,,,38.2773413,-122.3376646,Y,Vineyard row,38.27713776,-122.3374939,
486,270.0,Tectonic,Source: Napa 2014; 40 to 45 cm apparent right-lateral offset of vines. Trend of vines 066. Trend of fractures 355. ,,RL,,,346**,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Wesling,,,,,,,,,,,,,,,,,,38.27762094,-122.3377582,Y,Vineyard row,38.27759171,-122.3378525,40.9-46.0**
1841,271.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:31,Ponti,,,,,,,,,,,,,,,,,,38.27795909,-122.3382701,Y,Soil,38.2779541,-122.3382568,
3,272.0,Uncertain,"Source: Napa 2014; Longitudinal crack across roadway to the west of the main zone, possibly not tectonic.",,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:31,Ponti,,,,,,,,,,,,,,,,,,38.27932857,-122.339445,N,Soil,38.27932358,-122.3394318,
418,273.0,Tectonic,Source: Napa 2014; Fractures in soil.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:31,Hudnut,,,,,,,,,,,,,,,,,,38.2798283,-122.3384227,Y,Soil,38.27981186,-122.3384399,
17,274.0,Tectonic,Source: Napa 2014; Single fracture cutting across vineyard row; trend equals 325.,,,,,325,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:31,Ponti,,,,,,,,,,,,,,,,,,38.28015667,-122.3385742,N,Soil,38.28015137,-122.3385773,
419,275.0,Tectonic,Source: Napa 2014; Fractures in soil.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:31,Hudnut,,,,,,,,,,,,,,,,,,38.2803862,-122.3386721,Y,Soil,38.2803688,-122.3386765,
5,276.0,Tectonic,Source: Napa 2014; Two en echelon breaks across vineyard row.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:31,Ponti,,,,,,,,,,,,,,,,,,38.2805272,-122.3387363,N,Soil,38.28050232,-122.3387756,
420,277.0,Tectonic,Source: Napa 2014; Fractures in soil.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:31,Hudnut,,,,,,,,,,,,,,,,,,38.28075376,-122.3388539,Y,Soil,38.28075027,-122.3388748,
1840,278.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:31,Ponti,,,,,,,,,,,,,,,,,,38.28108105,-122.3390445,Y,Wall/Fence,38.28040695,-122.3404312,
430,279.0,Tectonic,"Source: Napa 2014; Bend(s) in fence. Main trace offset along pipe-fence; lowest pipe warped/bent and lifted out of grass. Can see imprint of pipe in matted dry grass where pipe lay prior to earthquake. Now pipe is bent up and out, bowed into a gradual 'S' shape. Cracks along scarp are coming right through here also; 15-20 cm total offset; tape set out at 20 cm.",,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Hudnut,,,,,,,,,,,,,,,,,,38.28112164,-122.3390709,Y,Wall/Fence,38.28109741,-122.339035,15-20*
1005,280.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:30,Hudnut,,,,,,,,,,,,,,,,,,38.28112164,-122.3390709,Y,Wall/Fence,38.28110504,-122.3390808,
1008,281.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:30,Hudnut,,,,,,,,,,,,,,,,,,38.28118181,-122.3391027,Y,Soil,38.28110504,-122.3390732,
431,282.0,Tectonic,Source: Napa 2014; Fracture in gravel.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Hudnut,,,,,,,,,,,,,,,,,,38.28135274,-122.3392009,Y,Soil,38.28134918,-122.3391876,
624,283.0,Tectonic,Source: Napa 2014; En echelon cracks that trend N20E. En echelon crack and compressional mole track trends 335 degrees.Zone is about 15 meters long.,,,,,355,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Dawson,,,,,,,,,,,,,,,,,,38.28141772,-122.339245,Y,Soil,38.28142929,-122.33918,
994,284.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Hudnut,,,,,,,,,,,,,,,,,,38.28141772,-122.339245,Y,Soil,38.28154373,-122.3392715,
429,285.0,Tectonic,Source: Napa 2014; Fractures in soil.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Hudnut,,,,,,,,,,,,,,,,,,38.28170987,-122.3393907,Y,Soil,38.28170395,-122.3393478,
438,286.0,Tectonic,Source: Napa 2014; Broken and offset root?,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:30,Hudnut,,,,,,,,,,,,,,,,,,38.28170987,-122.3393907,Y,Other,38.28170894,-122.3393916,
433,287.0,Tectonic,Source: Napa 2014; Offset fence.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Hudnut,,,,,,,,,,,,,,,,,,38.282069,-122.3391,Y,Wall/Fence,38.28204346,-122.3390503,
432,288.0,Tectonic,Source: Napa 2014; Fractures in soil.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Hudnut,,,,,,,,,,,,,,,,,,38.282111,-122.339212,Y,Soil,38.28211212,-122.3391876,
1017,289.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:30,Hudnut,,,,,,,,,,,,,,,,,,38.282111,-122.339212,Y,Soil,38.28210831,-122.3391953,
1014,290.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:30,Hudnut,,,,,,,,,,,,,,,,,,38.28212908,-122.3395265,Y,Soil,38.28211975,-122.3396149,
437,291.0,Tectonic,Source: Napa 2014; Offset fence line where intersects fault; along north edge of property line fence. Warp of fence line across broad zone ~20-30 m wide and about 30 +/- 15 cm.,,RL,,,347**,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:30,Hudnut,,,,,,,,,,,,,,,,,,38.28222055,-122.3395575,Y,Wall/Fence,38.28225708,-122.3395233,15.6-36.8**
479,292.0,Tectonic,Source: Napa 2014; Ground cracks on fault trace.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Holzer,,,,,,,,,,,,,,,,,,38.28983425,-122.342863,N,Soil,38.28982925,-122.3428497,
1835,293.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Ponti,,,,,,,,,,,,,,,,,,38.29008971,-122.3429134,Y,Soil,38.29010773,-122.3429947,
1836,294.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Ponti,,,,,,,,,,,,,,,,,,38.29012905,-122.342929,Y,Soil,38.29008484,-122.3429031,
478,295.0,Tectonic,Source: Napa 2014; Crack 1.7 ft deep.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Holzer,,,,,,,,,,,,,,,,,,38.29013661,-122.342932,N,Soil,38.29013062,-122.3429184,
2172,296.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Dawson,,,,,,,,,,,,,,,,,,38.2901483,-122.3429366,Y,Soil,38.29014206,-122.342926,
480,297.0,Tectonic,"Source: Napa 2014; Nail array, 20 in at 6:26 PM on Aug 25; 20 in at 9 AM on Aug 26. No apparent afterslip.",,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Holzer,,,,,,,,,,,,,,,,,,38.29016754,-122.3429441,N,Soil,38.29016113,-122.3429337,
626,298.0,Tectonic,"Source: Napa 2014; Driveway pulled apart at joint. Slip vector 46 cm; plunge 13 deg, bearing 355 deg. 346 fault strike.",,RL,W,,346,,,,,,A,,,,,,,,,,7,,,10.3,,,,,2014:08:25,Dawson/Ponti/Holzer,,,,,,,,,,,,,,,,,,38.290672,-122.34304,Y,Pavement,38.2906189,-122.343071,44.3
514,299.0,Tectonic,Source: Napa 2014; Buhman Ave. driveway.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:30,Zaccone,,,,,,,,,,,,,,,,,,38.290672,-122.34304,Y,Pavement,38.29055023,-122.3429337,
411,300.0,Tectonic,Source: Napa 2014; Fractures in compacted soil.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:31,Hudnut,,,,,,,,,,,,,,,,,,38.29089855,-122.3410396,Y,Soil,38.29094315,-122.3410263,
2170,301.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Dawson,,,,,,,,,,,,,,,,,,38.29098891,-122.3431993,Y,Soil,38.29103851,-122.3432159,
2190,302.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Dawson,,,,,,,,,,,,,,,,,,38.291045,-122.343225,Y,Soil,38.291045,-122.343225,
475,303.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Dawson,,,,,,,,,,,,,,,,,,38.291201,-122.343281,Y,Soil,38.291201,-122.343281,
2191,304.0,Tectonic,Source: Napa 2014; At southern fence of vineyard looking north.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Holzer/Ponti,,,,,,,,,,,,,,,,,,38.291201,-122.343281,Y,Soil,38.29104996,-122.3432236,
2192,305.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Dawson,,,,,,,,,,,,,,,,,,38.291423,-122.343322,Y,Soil,38.29138,-122.34335,
