OBJECTID,Station_ID,Feature_Origin,Notes,Mode_Observation,Slip_Sense,Scarp_Facing_Direction,Local_Fault_Dip,Local_Fault_Azimuth_Degrees,Slip_Azimuth,Fault_Slip_Measurement_Type,Heave_cm,Heave_min_cm,Heave_max_cm,Rupture_Expression,Rupture_Width_m,Rupture_Width_Min_m,Rupture_Width_Max_m,VM_Slip_Azimuth,Plunge,Net_Slip_Preferred_cm,Net_Slip_Min_cm,Net_Slip_Max_cm,Vector_Offset_Feature_Notes,Horizontal_Separation_cm,Horizontal_Separation_Min_cm,Horizontal_Separation_Max_cm,Vertical_Separation_cm,Vertical_Separation_Min_cm,Vertical_Separation_Max_cm,Slip_Offset_Feature_Notes,GlobalID,CreationDate,Creator,EditDate,Editor,fault_az_min_L,fault_az_max_L,fault_dip_min_L,fault_dip_max_L,local_frac_az_min_L,local_frac_az_max_L,striations_observed_L,gouge_observed_L,vect_plunge_min_L,vect_plunge_max_L,vect_az_min_L,vect_az_max_L,horiz_az_min_L,horiz_az_max_L,_citation,_latitude,_longitude,_napa_photo_exists,_observed_feature,_orig_lat,_orig_lon,Net_Slip_Preffered_cm
1319,19.0,Tectonic,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.22864888,-122.3138314,N,Soil,38.22864151,-122.3138199,
1321,20.0,Tectonic,Source: Napa 2014; 3.5- to 4.5-m-wide zone of left-stepping en echelon transtensional fractures.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.22898219,-122.3139476,N,Soil,38.2289772,-122.3139343,
1322,21.0,Tectonic,Source: Napa 2014; 3-m-wide zone of left-stepping en echelon transtensional fractures.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.2291113,-122.3139926,N,Soil,38.2291069,-122.3139954,
1323,22.0,Tectonic,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.22930263,-122.3140925,N,Soil,38.22929764,-122.3140793,
1324,23.0,Tectonic,Source: Napa 2014; 3-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length is 0.35 ft along 355 bearing. Average fault azimuth is 345. Slip measurement is minimum value.,,RL,,,345,,,>1.9,,,A,,,,,,,,,,,,,,,,,,2014:09:16,Lutz,,,,,,,,,,,,,,,,,,38.22946063,-122.3141524,Y,Soil,38.22945404,-122.3141479,>10.5
1325,24.0,Tectonic,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.22959996,-122.3142271,N,Soil,38.22959518,-122.314209,
1326,25.0,Tectonic,Source: Napa 2014; Left-stepping en echelon transtensional fractures.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.22976256,-122.3143222,N,Soil,38.22975159,-122.3143005,
1327,26.0,Tectonic,Source: Napa 2014; Left-stepping en echelon transtensional fractures.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.22993584,-122.3144102,N,Soil,38.22993088,-122.3143921,
1328,27.0,Tectonic,Source: Napa 2014; 4.5- to 6-m-wide zone of left-stepping en echelon transtensional fractures.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.23008841,-122.3145144,N,Soil,38.23008347,-122.3144989,
1329,28.0,Tectonic,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.2302108,-122.3145757,N,Soil,38.23020554,-122.3145599,
